CUST_ID,ACC_NO,CUST_NAME,CUST_GENDER,CUST_CITY,CUST_STATE,CUST_DOB,CUST_EMAIL,CUST_CONTACTNO,CUST_PAN_ID,CUST_MARITALSTATUS,CUST_SALARY,CUST_NOMINEE,EMP_ALIAS
98000029,9571188857,Kanika Jatwani,Female,New Delhi,New Delhi,32566,Kanika.Jatwani1035@gmail.com,7851637849,NAXRB1893Y,Single,43488,Parvati Mandakranta Vidyasagar,mitcha
98000030,9571948698,Satish Kumar Gupta,Male,New Delhi,New Delhi,33686,Satish.Kumar1896@gmail.com,9978350355,ZUGYO5784X,Single,99297,Punam Shingane,pbaua
98000031,5155753381,Sumit,Male,Noida,Uttar Pradesh,36157,Sumit.68@gmail.com,9593755408,VAXFL3842R,Married,71482,Shaheen Venkatadri,pbaua
98000032,9571803075,Guneet Kaur,Female,New Delhi,New Delhi,32471,Guneet.Kaur41@gmail.com,7103353085,LBTME1324N,Single,16961,Tapas Thundyil,arjga
98000033,9571268432,Rohan Gulati,Male,New Delhi,New Delhi,36053,Rohan.Gulati545@gmail.com,7658556551,OUHWF5371W,Married,41278,Ramesh Nishar,urling
98000034,9571885778,Mukesh ,Male,New Delhi,New Delhi,33861,Mukesh .1748@gmail.com,7385600018,HQVKM4710X,Married,81785,Praful Chandrak Papa,arjga
98000035,339086335,Sonia Thakur,Female,Allahabad,Uttar Pradesh,35843,Sonia.Thakur971@gmail.com,9270744785,DCBJN1693K,Divorced,41964,Musheer Subbarayudu,ravgh
98000036,339123759,Ashish,Male,Allahabad,Uttar Pradesh,34725,Ashish.845@gmail.com,7374558073,UFBHL7632W,Married,11431,Jasraj Somatra,jyadva
98000037,9571732419,Harsh Wardhan,Male,New Delhi,New Delhi,33393,Harsh.Wardhan1675@gmail.com,7343228152,YKPJF3908L,Married,82401,Kusumakar Vellore,jyadva
98000038,9571000368,Rohit Ahuja,Male,New Delhi,New Delhi,33609,Rohit.Ahuja1499@gmail.com,7714739066,PHVNB7293X,Married,5548,Dheemant Maiti,meema
98000039,9571951681,Rohini Narang,Female,New Delhi,New Delhi,33743,Rohini.Narang1098@gmail.com,9635708557,DPTKQ5014G,Married,63589,Vivekananda Gahlot,eemja
98000040,1761398430,Neha Walia,Female,Gurugram,Haryana,34985,Neha.Walia938@gmail.com,9350207267,RYNTO1470H,Divorced,47103,Suchitra Chudasama,sadban
98000041,9571447794,Amaresh Pathak,Male,New Delhi,New Delhi,32290,Amaresh.Pathak1542@gmail.com,7743852240,AROHF7083R,Divorced,73067,Dhatri Esha Chawd,urling
98000042,9571151960,Shailendra M. Mishra,Male,New Delhi,New Delhi,35601,Shailendra.M.1037@gmail.com,7147515349,OJCIR3657Q,Single,80837,Sonakshi Dua,urling
98000043,9571036677,Anju Garg,Female,New Delhi,New Delhi,33003,Anju.Garg1302@gmail.com,9018884874,VWOYA8315G,Single,94467,Yamuna Muthukrishnan,sadban
98000044,9571862747,Harjinder Singh,Male,New Delhi,New Delhi,33156,Harjinder.Singh557@gmail.com,7035845153,QACRO3021A,Single,95805,Renuka Srivastav,namad
98000045,9571454235,Shweta Mittal,Female,New Delhi,New Delhi,35132,Shweta.Mittal106@gmail.com,8459137034,HMGND1463M,Married,63635,Nidra Emankumar,namad
98000046,9571129297,Ashish,Male,New Delhi,New Delhi,35123,Ashish.586@gmail.com,7508966195,CPLIJ1352X,Single,46076,Gangika Mageshkumar,mitcha
98000047,9149221521,Neha Saha,Female,Coimbatore,Tamil Nadu,32794,Neha.Saha923@gmail.com,7376912320,UPTJW7269D,Married,68790,Tapasi Sadalge,arjga
98000048,9571708064,Bishwas Joshi,Male,New Delhi,New Delhi,36419,Bishwas.Joshi691@gmail.com,9921089025,VRMHA6129C,Single,13707,Ojal Pedapudi,pbaua
98000049,9571462067,Chetan Mansharamani,Male,New Delhi,New Delhi,32563,Chetan.Mansharamani582@gmail.com,7927715624,JHQRB3567M,Married,60999,arvatinandan Sukanya,pbaua
98000050,9571760934,Surbhi Arora,Female,New Delhi,New Delhi,35328,Surbhi.Arora1858@gmail.com,8921164808,XNVMQ8649M,Single,54806,Vipula Duranjaya,pbaua
98000051,9571081584,Ashok Kumar,Male,New Delhi,New Delhi,32561,Ashok.Kumar1184@gmail.com,7898925601,HUDQS2716O,Single,46665,Nivritti Joshipura,sansoi
98000052,9571074934,Prateek Gupta,Male,New Delhi,New Delhi,35319,Prateek.Gupta1259@gmail.com,9497831350,IFGAP3941Q,Divorced,88804,Sadaf Vattikota,rajshi
98000053,9571623104,Reshma Shahani,Female,New Delhi,New Delhi,32864,Reshma.Shahani135@gmail.com,9393984889,DYTBM6351B,Married,27206,Seemanti Nagaraja,eemja
98000054,6192839076,Nishant Shaleen,Male,Lucknow,Uttar Pradesh,34185,Nishant.Shaleen1135@gmail.com,8139961331,RUGOF4795O,Married,62152,Shrilata Ghoshdashtidar,ravgh
98000055,9571305243,Renuka,Female,New Delhi,New Delhi,35213,Renuka.713@gmail.com,7647924650,RKHPM1024B,Single,44579,Kaustav Sulalit Neel,vinit
98000056,2855629753,Mahesh,Male,Bhilai,Chhattisgarh,33655,Mahesh.1796@gmail.com,8625477718,LJYNU3690G,Married,14288,Gangadhar Parnad Shruti,sansoi
98000057,1761922408,Rameshwar Lal,Male,Gurugram,Haryana,35051,Rameshwar.Lal807@gmail.com,9464396196,LITSJ9586X,Married,35750,Ibrahim Davuluri,sansoi
98000058,3038053743,Rajan Makhija,Male,Sriganganagar,Rajasthan,32499,Rajan.Makhija477@gmail.com,8893974088,AQRDT6945Q,Divorced,71184,Titir Sethi,meema
98000059,9571366600,Neelam,Female,New Delhi,New Delhi,36242,Neelam.458@gmail.com,7823153250,VBHNY5163L,Divorced,71222,Harmendra Macwan,urling
98000060,9571491427,Uday Vir Singh,Male,New Delhi,New Delhi,35881,Uday.Vir896@gmail.com,8543780984,ZAPNF9670C,Married,38962,Advitiya Sujeet,meema
98000061,9571883021,Pradeep Nair,Male,New Delhi,New Delhi,34733,Pradeep.Nair166@gmail.com,8943488214,MVOPX8201E,Single,83493,Alagesan Poduri,rajshi
98000062,9571587017,Deepak Singh,Male,New Delhi,New Delhi,32300,Deepak.Singh1475@gmail.com,9828863636,VYUMP9250H,Divorced,42525,Amrish Ilyas,rajshi
98000063,9571143192,Deepika Luthra,Female,New Delhi,New Delhi,33267,Deepika.Luthra1576@gmail.com,7498107802,YKHGS5713T,Single,79217,Aprativirya Seshan,mitcha
98000064,9571355287,Raghav Bhalla,Male,New Delhi,New Delhi,32689,Raghav.Bhalla1832@gmail.com,8760572083,LZJTG4281J,Divorced,76227,Asvathama Ponnada,ravgh
98000065,9571701825,Chandi Prasad Bhatt,Female,New Delhi,New Delhi,35937,Chandi.Prasad669@gmail.com,7399667787,QHIVE7568G,Divorced,36982,Avantas Ghosal,rajshi
98000066,1741250451,Priyanka Rawat,Female,Faridabad,Haryana,33975,Priyanka.Rawat349@gmail.com,7785975761,SHQGT2041X,Single,36993,Avidosa Vaisakhi,mitcha
98000067,9571492125,Charanpreet Chawla,Male,New Delhi,New Delhi,32447,Charanpreet.Chawla257@gmail.com,7554182806,HRNMA3547N,Divorced,73378,Barsati Sandipa,jyadva
98000068,9571635845,Sunil Kumar,Male,New Delhi,New Delhi,32652,Sunil.Kumar402@gmail.com,9099742462,WDJSH7913Y,Married,50299,Debasis Sundhararajan,jyadva
98000069,9571639906,Sudesh Bhardwaj,Male,New Delhi,New Delhi,32792,Sudesh.Bhardwaj666@gmail.com,8187789717,NCKVH4351F,Married,5279,Devasru Subramanyan,vinit
98000070,9571260532,Anupreet Kaur,Female,New Delhi,New Delhi,32344,Anupreet.Kaur392@gmail.com,8084011797,DAOYC8296Z,Single,48471,Dharmadhrt Ramila,eemja
98000071,9571966186,Vandana Yadav,Female,New Delhi,New Delhi,34264,Vandana.Yadav1675@gmail.com,9509359137,BVMTE2567Y,Married,27466,Dhritiman Salim,sansoi
98000072,9571779260,Rohit Sharma,Male,New Delhi,New Delhi,35556,Rohit.Sharma1659@gmail.com,8599756093,DVBSO1082U,Single,54266,Gopa Trilochana,namad
98000073,9571922954,Shweta Kundra,Female,New Delhi,New Delhi,36427,Shweta.Kundra1745@gmail.com,7528797145,KWTBG1849L,Married,67649,Hardeep Suksma,ajmee
98000074,8778286518,Anamika Priya,Female,Haridwar,Uttarakhand,34737,Anamika.Priya1736@gmail.com,9694718734,CQVHS9072F,Married,87586,Jayadev Mitali,namad
98000075,8198524319,Aman Tyagi,Male,Ghaziabad,Uttar Pradesh,34159,Aman.Tyagi1579@gmail.com,8325165012,QXSHO6958E,Single,95276,Jitendra Choudhary,eemja
98000076,3526096026,Pradeep Saxena,Male,Jodhpur,Rajasthan,34333,Pradeep.Saxena1562@gmail.com,7666291033,GNYDS3187R,Single,59311,Kalyanavata Veerender,meema
98000077,9571955806,Manish Sharma,Male,New Delhi,New Delhi,34296,Manish.Sharma1853@gmail.com,9629140149,HVCSL8526S,Married,81233,Naveen Tikaram,meema
98000078,8370647908,Jasmeet S Anand,Male,Mumbai,Maharashtra,33805,Jasmeet.S1273@gmail.com,7154230871,NJATI2748Y,Single,61198,Vijai Sritharan,mitcha
98000079,9571420524,Reena Josephine,Female,New Delhi,New Delhi,36143,Reena.Josephine1781@gmail.com,8139299904,XREZU9213K,Divorced,4812,badshya khan,jyadva
98000080,9571534855,Ashish Raj,Male,New Delhi,New Delhi,33990,Ashish.Raj598@gmail.com,9692837647,AEJGV9850E,Married,20321,vikash,jyadva
98000081,9571145017,Kashish,Male,New Delhi,New Delhi,33947,Kashish.181@gmail.com,9339864743,FAYKL3986B,Single,51337,devinder chadda,jyadva
98000082,9571390600,Jinesh Jain,Male,New Delhi,New Delhi,33305,Jinesh.Jain1681@gmail.com,7888803517,QDCAJ4785I,Married,19665,aman,sadban
98000083,9571938997,Nidhi Sharma,Female,New Delhi,New Delhi,35069,Nidhi.Sharma1701@gmail.com,7414624405,CLSGV8546M,Divorced,31078,mohan singh,urling
98000084,9571162689,Sapna Prakash,Female,New Delhi,New Delhi,32475,Sapna.Prakash1406@gmail.com,7595079975,UGVNH2709R,Married,82184,hemant,sadban
98000085,9571856148,Monica Arora,Female,New Delhi,New Delhi,32751,Monica.Arora876@gmail.com,9731764018,BSLMU3245H,Single,13539,shivam,ajmee
98000086,9571119976,Deep Kaur,Female,New Delhi,New Delhi,32449,Deep.Kaur1695@gmail.com,8912547509,VEZNC4570K,Divorced,11802,yash mittal,ajmee
98000087,1741063061,Pearl International,Male,Faridabad,Haryana,35349,Pearl.International1457@gmail.com,7024185673,YMUGV2548E,Married,71949,aakash,sadban
98000088,9571882068,Vishal Srivastava,Male,New Delhi,New Delhi,34400,Vishal.Srivastava773@gmail.com,8311918027,LQTYA1579B,Married,37932,chandesh,mitcha
98000089,9571664769,Nisha/ Soniya,Female,New Delhi,New Delhi,33196,Nisha/.Soniya157@gmail.com,8977220852,TOHIK4230Y,Single,36753,sumit mitra,urling
98000090,5908355616,Avdesh Sharma,Male,Jaipur,Rajasthan,36152,Avdesh.Sharma564@gmail.com,8507471646,XFHVS3964A,Married,56672,supriyal sen,urling
98000091,9571014149,Rajat Sawhney,Male,New Delhi,New Delhi,34682,Rajat.Sawhney1754@gmail.com,8599675384,LBVEN8035Y,Single,68776,gajender singh @ goldy,urling
98000092,9571196182,Pankaj Gaur,Male,New Delhi,New Delhi,34068,Pankaj.Gaur822@gmail.com,8024346218,ILEOQ3601E,Divorced,52897,pooran chand sharma,arjga
98000093,9571319170,Manoj,Male,New Delhi,New Delhi,33731,Manoj.890@gmail.com,8882194858,NMPRO6932K,Married,9467,irfan,ravgh
98000094,9571788758,Raghu,Male,New Delhi,New Delhi,35108,Raghu.1801@gmail.com,9339003175,MBEID9463B,Single,8706,azaruddin,sansoi
98000095,9571344961,Anjali Choudhary,Female,New Delhi,New Delhi,34037,Anjali.Choudhary1438@gmail.com,8165041079,TMRDF7683U,Married,80235,mukul yadav,sansoi
98000096,2538044694,Virender Sharma,Male,Dehradun,Uttarakhand,36349,Virender.Sharma940@gmail.com,9464426092,OPFLD2950E,Married,30986,pooran chand sharma,subje
98000097,9571663286,Amresh Pathak,Male,New Delhi,New Delhi,33024,Amresh.Pathak1424@gmail.com,9894780899,YSQMH6542D,Married,53264,manoj,vinit
98000098,4233247135,Ranjeet Barnwal,Male,Ahmedabad,Gujarat,32822,Ranjeet.Barnwal729@gmail.com,7417436123,YZABL6528Q,Single,77986,sanjay charee,arjga
98000099,9571927593,Ritu,Female,New Delhi,New Delhi,33898,Ritu.1888@gmail.com,7006500816,VDGHZ2169I,Married,77134,raja babu,subje
98000100,6258736689,Nasim Khan,Male,Ludhiana,Punjab,33611,Nasim.Khan666@gmail.com,8462661637,PNJZA3081E,Divorced,84007,vinay kumar upadhayay,rajshi
98000101,9571413414,Kritika Mehta,Female,New Delhi,New Delhi,34964,Kritika.Mehta601@gmail.com,7761161324,ZUNTR8919B,Single,86914,shekher,ajmee
98000102,9571861541,Gagan Saluja,Male,New Delhi,New Delhi,34541,Gagan.Saluja1331@gmail.com,8889796885,INPJZ2191G,Single,97104,vinod,ajmee
98000103,9571649250,Girendra Kumar,Male,New Delhi,New Delhi,34297,Girendra.Kumar389@gmail.com,8811461256,FILQX1798U,Single,62699,abhishek yadav,rajshi
98000104,9571011804,Selestina Emmanuel,Female,New Delhi,New Delhi,34149,Selestina.Emmanuel1594@gmail.com,8070780948,BTSXL3942J,Divorced,39469,abhishek yadav,ajmee
98000105,9571455196,Charanjeet Kaur,Female,New Delhi,New Delhi,32867,Charanjeet.Kaur918@gmail.com,8543771194,BACPY4958H,Married,2673,manish khandelwal,sansoi
98000106,9571808487,Sweta Sinha,Female,New Delhi,New Delhi,33634,Sweta.Sinha89@gmail.com,7693935349,LEGWF7936M,Married,62474,bir singh,sansoi
98000107,9571273336,Preet,Female,New Delhi,New Delhi,34025,Preet.375@gmail.com,7680137125,QDKVT6381G,Single,60281,ram niwas,arjga
98000108,9571347684,Georgina Eric,Female,New Delhi,New Delhi,34345,Georgina.Eric385@gmail.com,7756122122,VXWHU2569X,Married,39293,rajkumar saini s/o madan lal saini,sadban
98000109,1739347556,Sami Khan,Male,Kolkata,West Bengal,33162,Sami.Khan76@gmail.com,7351709812,HTQLB4057R,Single,7796,rakesh,sadban
98000110,9571851905,Aditya Oberoi,Male,New Delhi,New Delhi,36088,Aditya.Oberoi902@gmail.com,9081092832,FDQMH8692G,Single,18849,mohd sajim,mitcha
98000111,9571867574,Tushar Sharma,Male,New Delhi,New Delhi,33710,Tushar.Sharma1638@gmail.com,9557028974,RGMHF4235W,Single,51603,shankarlal s/o sukharam,sansoi
98000112,1761325298,Manjeet Kaur,Female,Gurugram,Faridabad,34661,Manjeet.Kaur512@gmail.com,8951573231,HFZMN1928R,Single,99970,rahul sharma,ajmee
98000113,1761768456,Meenakshi,Female,Gurugram,Faridabad,33176,Meenakshi.1585@gmail.com,8017008652,VPUXI3784Z,Married,68711,neeraj kishore,ajmee
98000114,5908787084,Jagdeep Patel,Male,Jaipur,Rajasthan,32619,Jagdeep.Patel368@gmail.com,7924131705,HPOGB2901H,Divorced,54056,ishwar,sansoi
98000115,9571824162,Ketan Bhagwani,Male,New Delhi,New Delhi,35725,Ketan.Bhagwani1199@gmail.com,9579090544,RWSQF2375K,Single,88593,bilal,meema
98000116,1741637747,Mohit Kulkarni,Male,Faridabad,Haryana,36481,Mohit.Kulkarni957@gmail.com,7310450291,NYOIQ2076N,Single,48564,ravi parkash solanki,meema
98000117,2755986226,Manish Sundriyal,Male,Nainital,Uttarakhand,33868,Manish.Sundriyal1856@gmail.com,7358945935,FZDRM7840B,Married,77519,rohit kumar tiwari,mitcha
98000118,9571915878,Gopal Shekhawat,Male,New Delhi,New Delhi,35458,Gopal.Shekhawat973@gmail.com,7495860292,IYUFX2604Q,Divorced,85776,pramod,sadban
98000119,6258830522,Anil Sharma,Male,Ludhiana,Punjab,35902,Anil.Sharma452@gmail.com,7289324331,QYABE7983N,Married,66520,manjeet kumar,mitcha
98000120,8153888264,Ajay Kumar,Male,Amritsar,Punjab,35289,Ajay.Kumar312@gmail.com,7075209588,TGHQW5362E,Divorced,791,vimal kumar,eemja
98000121,6258026355,Harsh Wardhan,Male,Ludhiana,Punjab,34590,Harsh.Wardhan482@gmail.com,7767841485,TQSUB3587T,Married,70394,vijay,subje
98000122,9571102056,Charu Kumar,Female,New Delhi,New Delhi,34649,Charu.Kumar887@gmail.com,8849818945,PMCYE7904A,Married,75864,abbas mehndi,subje
98000123,9571945016,Naveen Kumar,Male,New Delhi,New Delhi,32917,Naveen.Kumar1032@gmail.com,8709253230,HYFDX5260M,Single,36103,omprkash,sansoi
98000124,7323995522,Kuntal Dey,Male,Saharanpur,Uttar Pradesh,33688,Kuntal.Dey970@gmail.com,8623407677,SYNBR5216Q,Married,25372,deepak rathore,ajmee
98000125,5155111586,Sandeep Jain,Male,Noida,Uttar Pradesh,32289,Sandeep.Jain757@gmail.com,7733470130,MJPDH8542Y,Married,79622,masoom,subje
98000126,9571861210,Amit Kr. Srivastasva,Male,New Delhi,New Delhi,32442,Amit.Kr.87@gmail.com,8322941157,AJOBN2314C,Married,75265,deepak kamat,subje
98000127,9571055977,Deepak Sethi,Male,New Delhi,New Delhi,32702,Deepak.Sethi263@gmail.com,9115648458,NDGCS2690B,Single,99557,ajay @ ajju,mitcha
98000128,9571678357,B K Bharti,Male,New Delhi,New Delhi,33667,B.K1821@gmail.com,7626448978,FQPKE1230I,Married,39029,abhishek,mitcha
98000129,9571686136,Akshay Jain,Male,New Delhi,New Delhi,32902,Akshay.Jain1783@gmail.com,8429823841,NQKDM3692W,Married,82995,toquir ali,ajmee
98000130,9571959424,Rajiv Jain,Male,New Delhi,New Delhi,33066,Rajiv.Jain1444@gmail.com,7177343768,QMKPL2498D,Single,33693,shyam sundra,namad
98000131,9571461528, Vikrant Verma,Male,New Delhi,New Delhi,36444, Vikrant.Verma219@gmail.com,9335300625,PMCZE9437R,Single,78094,ankit,vinit
98000132,9571562406,Jitender Chauhan ,Male,New Delhi,New Delhi,32918,Jitender.Chauhan 314@gmail.com,8438862326,XLPFW7340T,Married,52082,sarthak dadwal,namad
98000133,9571192784,Ashish Wadhera,Male,New Delhi,New Delhi,34418,Ashish.Wadhera1209@gmail.com,7575831472,SMQRH7823Q,Divorced,5832,armaan @ suvalin,eemja
98000134,9571375480,Akhilesh Kala,Male,New Delhi,New Delhi,34876,Akhilesh.Kala105@gmail.com,8486091446,YIUQG1749V,Married,17751,kunal kishore,vinit
98000135,9571972436,Jitin Bajaj,Male,New Delhi,New Delhi,35034,Jitin.Bajaj1691@gmail.com,7562558394,SDTKJ8534K,Divorced,94185,nabav shekh,vinit
98000136,9571153051,Deepak Modgill,Male,New Delhi,New Delhi,35298,Deepak.Modgill1059@gmail.com,8332856422,DARZC4861Y,Single,82421,ravindra kumar,vinit
98000137,4233615088,Tanwir,Male,Ahmedabad,Gujarat,33157,Tanwir.1405@gmail.com,9694174107,TUKGQ9607O,Married,14945,viney parkash,subje
98000138,9571427003,Kanishk Karn,Male,New Delhi,New Delhi,33466,Kanishk.Karn1438@gmail.com,9796890263,JKRVO3820P,Married,14705,ram parkash teneja,ajmee
98000139,9571417404,Harsh Vajpai,Male,New Delhi,New Delhi,36252,Harsh.Vajpai1028@gmail.com,9754441063,QAELB6725V,Married,46467,prem pal,sansoi
98000140,9571997155,Yogendra Verma,Male,New Delhi,New Delhi,35223,Yogendra.Verma1040@gmail.com,8694736533,NLWYT7205T,Single,93226,dhramender,subje
98000141,9571513634,Rashmi Rauthan,Female,New Delhi,New Delhi,32549,Rashmi.Rauthan638@gmail.com,9949604177,TLNKX7450Z,Single,78198,sunil,subje
98000142,1761304016,Manoranjan Das,Male,Gurugram,Haryana,33638,Manoranjan.Das1124@gmail.com,8052906620,WKVBE9205D,Single,1889,swami nathan,ajmee
98000143,9571929696,Abhishek Tiwari,Male,New Delhi,New Delhi,36298,Abhishek.Tiwari1494@gmail.com,7121148690,LOVJC8921S,Single,46161,rakesh panday,arjga
98000144,9571386891,Ajay Dhar,Male,New Delhi,New Delhi,32150,Ajay.Dhar1535@gmail.com,8867266573,EJBTS8621Q,Divorced,97597,krishana,sansoi
98000145,9571865815,Arjun,Male,New Delhi,New Delhi,34002,Arjun.316@gmail.com,7849769233,QOEGA1468O,Divorced,89643,suraj kumar,rajshi
98000146,8370355046,Alok Lepcha,Male,Mumbai,Maharashtra,32730,Alok.Lepcha775@gmail.com,7907761476,LOXJC4325G,Single,46046,deepak,mitcha
98000147,9571479270,Anu Zutshi,Female,New Delhi,New Delhi,32833,Anu.Zutshi20@gmail.com,9671859667,AMXDN7120H,Divorced,26250,ajay kumar,subje
98000148,9571940057,Shiv Gurjar,Male,New Delhi,New Delhi,34873,Shiv.Gurjar307@gmail.com,8578375215,ASIYD9017D,Married,86727,sonali,vinit
98000149,9571530177,Uzair Khan,Male,New Delhi,New Delhi,32435,Uzair.Khan940@gmail.com,7909974998,LXTUA5084R,Single,74011,piyush,subje
