CUST_ID,CUST_NAME,CUST_GENDER,CUST_ADDRESS,CUST_CITY,CUST_STATE,CUST_DOB,CUST_EMAIL,CUST_CONTACTNO,CUST_PAN_ID,CUST_MARITALSTATUS,CUST_SALARY,CUST_NOMINEE,EMP_ALIAS,CUST_AADHAAR_NO,CUST_KYC
98000028,Anthony Fernandiz,Male,"113-114, sun and moo, belvedara parkswage farm, new sanganer road, ram nagarb extension, sodala, jaipur",Jaipur,Rajasthan,1996-06-24,Anthony.Fernandiz690@gmail.com,9172659646,BXVTK6291M,Married,59130,Kesari Upala Balakrishnan,pbaua,985207582803,Yes
98000114,Jagdeep Patel,Male,"1-A, Fateh Nagar, Surya Nagar, Tonk Road, Jaipur - 302015",Jaipur,Rajasthan,1989-04-21,Jagdeep.Patel368@gmail.com,7924131705,HPOGB2901H,Divorced,54056,ishwar,sansoi,,No
98000054,Nishant Shaleen,Male,"13 A, Jopling Road, Nanpara House, Lucknow-226001",Lucknow,Uttar Pradesh,1993-08-04,Nishant.Shaleen1135@gmail.com,8139961331,RUGOF4795O,Married,62152,Shrilata Ghoshdashtidar,ravgh,820235163301,Yes
98000121,Harsh Wardhan,Male,"1ST FLOOR, NANKANA SAHIB COMPLEX, NEW JAWAHAR NAGAR, OPP. BUS STAND, LUDHIANA - 141002",Ludhiana,Punjab,1994-09-13,Harsh.Wardhan482@gmail.com,7767841485,TQSUB3587T,Married,70394,vijay,subje,,No
98000100,Nasim Khan,Male,"18 - AX, MODEL TOWN EXT. NEAR GURUDWARA, LUDHIANA",Ludhiana,Punjab,1992-01-08,Nasim.Khan666@gmail.com,8462661637,PNJZA3081E,Divorced,84007,vinay kumar upadhayay,rajshi,,No
98000119,Anil Sharma,Male,"1ST FLOOR, HOTEL MANZIL, NEAR BUS STAND, LUDHIANA - 141002",Ludhiana,Punjab,1998-04-17,Anil.Sharma452@gmail.com,7289324331,QYABE7983N,Married,66520,manjeet kumar,mitcha,,No
98000018,Debashis Dey,Male,"1100 - 1101, SECTOR - 22B, CHANDIGARH - 160022",Chandigarh,Punjab,1988-10-18,Debashis.Dey300@gmail.com,8133662626,RSYNQ6420U,Married,55215,Anjali Mackherdhuj,rajshi,610932402992,Yes
98000002,Kanishk Sethi,Male,"104,Time Square Complex, Nr Kailash Resturant,Nanpura Surat,Gujrat.",Surat,Gujarat,1995-02-13,Kanishk.Sethi216@gmail.com,9051607476,PMSWC2456S,Single,60938,Purnendu Pavan,namad,706922674736,Yes
98000124,Kuntal Dey,Male,"1st FLOOR,BHAN COMPLEX, OPP.HATHI GATE, COURT ROAD, SAHARANPUR-247001",Saharanpur,Uttar Pradesh,1992-03-25,Kuntal.Dey970@gmail.com,8623407677,SYNBR5216Q,Married,25372,deepak rathore,ajmee,,No
98000001,Satbir Singh,Male,"104, LAWRENCE ROAD, 1ST FLOOR, OPP. NEHRU SHOPPING COMPLEX, AMRITSAR - 143001",Amritsar,Punjab,1999-09-20,Satbir.Singh898@gmail.com,8097264379,SCAIM4935O,Married,68070,Manmohan Rengarajan,eemja,566258149495,Yes
98000120,Ajay Kumar,Male,"1ST FLOOR, NANAK BUILDING, OPP. NEHRU SHOPPING COMPLEX, LAWRENCE ROAD, AMRITSAR - 143001",Amritsar,Punjab,1996-08-12,Ajay.Kumar312@gmail.com,7075209588,TGHQW5362E,Divorced,791,vimal kumar,eemja,,No
98000075,Aman Tyagi,Male,"15/148, sec-15, vasundhra, Ghaziabad",Ghaziabad,Uttar Pradesh,1993-07-09,Aman.Tyagi1579@gmail.com,8325165012,QXSHO6958E,Single,95276,Jitendra Choudhary,eemja,953797414521,Yes
98000146,Alok Lepcha,Male,"203, Corporate Avenue | Sonawala Road I Near Udyog Bhawan , Goregaon - East | Mumbai | India - 400063",Mumbai,Maharashtra,1989-08-10,Alok.Lepcha775@gmail.com,7907761476,LOXJC4325G,Single,46046,deepak,mitcha,622039720484,Yes
98000078,Jasmeet S Anand,Male,"153, Ground Floor Orchard Road Mall, Royal Palms, Aarey Milk Colony, Goregaon East, Mumbai - 400 065, India.",Mumbai,Maharashtra,1992-07-20,Jasmeet.S1273@gmail.com,7154230871,NJATI2748Y,Single,61198,Vijai Sritharan,mitcha,,No
98000014,Ashish Gaur,Male,"10th Floor ,1001/2/3 , Hallmark Business Plaza , Gurunanak BARC Hospital Rd, Bandra East , Mumbai , 400051",Mumbai,Maharashtra,1994-02-18,Ashish.Gaur687@gmail.com,8733331463,CJWEG2031L,Single,49553,Maithili Nira,jyadva,,No
98000074,Anamika Priya,Female,"15,GuruMandal Ashram , Devpura  Haridwar ||Uttarakhand -249401|| INDIA",Haridwar,Uttarakhand,1995-02-07,Anamika.Priya1736@gmail.com,9694718734,CQVHS9072F,Married,87586,Jayadev Mitali,namad,,No
98000047,Neha Saha,Female,"124H, Thendral Complex, 3rd Floor, D.B. Road, Coaimbatore",Coimbatore,Tamil Nadu,1989-10-13,Neha.Saha923@gmail.com,7376912320,UPTJW7269D,Married,68790,Tapasi Sadalge,arjga,866814380937,Yes
98000038,Rohit Ahuja,Male,"1201, 12th floor, new delhi house, 27, barakhamba road, new delhi",New Delhi,New Delhi,1992-01-06,Rohit.Ahuja1499@gmail.com,7714739066,PHVNB7293X,Married,5548,Dheemant Maiti,meema,,No
98000104,Selestina Emmanuel,Female,"180, 1st floor, vardhman crown mall, sector 19, dwarka",New Delhi,New Delhi,1993-06-29,Selestina.Emmanuel1594@gmail.com,8070780948,BTSXL3942J,Divorced,39469,abhishek yadav,ajmee,,No
98000091,Rajat Sawhney,Male,"168, 1st floor, vardhman crown mall, sector 19, dwarka",New Delhi,New Delhi,1994-12-14,Rajat.Sawhney1754@gmail.com,8599675384,LBVEN8035Y,Single,68776,gajender singh @ goldy,urling,919435925166,Yes
98000043,Anju Garg,Female,"123, 1st Floor, Ring Road Mall, Near Deepali Chowk, Sec-3, Rohini",New Delhi,New Delhi,1990-05-10,Anju.Garg1302@gmail.com,9018884874,VWOYA8315G,Single,94467,Yamuna Muthukrishnan,sadban,,No
98000127,Deepak Sethi,Male,"2, Sai Ashirwad, Sectore-15, Near Rly Station, Nerul (E) , Navi Mumbai- 400 706",New Delhi,New Delhi,1989-07-13,Deepak.Sethi263@gmail.com,9115648458,NDGCS2690B,Single,99557,ajay @ ajju,mitcha,,No
98000052,Prateek Gupta,Male,"12A, 12th Floor, Gopala Towers, Rajendra Place, New Delhi",New Delhi,New Delhi,1996-09-11,Prateek.Gupta1259@gmail.com,9497831350,IFGAP3941Q,Divorced,88804,Sadaf Vattikota,rajshi,,No
98000051,Ashok Kumar,Male,"129, 2nd floor, shankar market, new rajinder nagar",New Delhi,New Delhi,1989-02-22,Ashok.Kumar1184@gmail.com,7898925601,HUDQS2716O,Single,46665,Nivritti Joshipura,sansoi,709355789945,Yes
98000122,Charu Kumar,Female,"1st Floor, Plot No. 56, Rama Road Industrial Area",New Delhi,New Delhi,1994-11-11,Charu.Kumar887@gmail.com,8849818945,PMCYE7904A,Married,75864,abbas mehndi,subje,530753005802,Yes
98000086,Deep Kaur,Female,"161, 1st Floor, Capital Plaza,Inder Enclave,Paschim Vihar, New Delhi 110085",New Delhi,New Delhi,1988-11-02,Deep.Kaur1695@gmail.com,8912547509,VEZNC4570K,Divorced,11802,yash mittal,ajmee,,No
98000046,Ashish,Male,"124, Vardhman royal Plaza, Gujranwala Town, Part-2, Delhi",New Delhi,New Delhi,1996-02-28,Ashish.586@gmail.com,7508966195,CPLIJ1352X,Single,46076,Gangika Mageshkumar,mitcha,752922559440,Yes
98000063,Deepika Luthra,Female,"13-D, Gopala Towers, Rajendra Place, New Delhi",New Delhi,New Delhi,1991-01-29,Deepika.Luthra1576@gmail.com,7498107802,YKHGS5713T,Single,79217,Aprativirya Seshan,mitcha,,No
98000081,Kashish,Male,"15A/36 (206-207), 2nd Floor, Saraswati Marg, Opp China Town Hotel, Karol Bagh, New Delhi",New Delhi,New Delhi,1992-12-09,Kashish.181@gmail.com,9339864743,FAYKL3986B,Single,51337,devinder chadda,jyadva,,No
98000042,Shailendra M. Mishra,Male,"121, BD Chamber, 10/54, D.B Gupta Road, Karol Bagh",New Delhi,New Delhi,1997-06-20,Shailendra.M.1037@gmail.com,7147515349,OJCIR3657Q,Single,80837,Sonakshi Dua,urling,651926995670,Yes
98000136,Deepak Modgill,Male,"201, Local Shopping Complex, Derawal Nagar, New Delhi",New Delhi,New Delhi,1996-08-21,Deepak.Modgill1059@gmail.com,8332856422,DARZC4861Y,Single,82421,ravindra kumar,vinit,,No
98000084,Sapna Prakash,Female,"15a/8, w.e.a, karol bagh, near puja park, new delhi",New Delhi,New Delhi,1988-11-28,Sapna.Prakash1406@gmail.com,7595079975,UGVNH2709R,Married,82184,hemant,sadban,508642736000,Yes
98000029,Kanika Jatwani,Female,"113-118, PP Tower, 1st Floor, Netaji Subhash Place, Pitampura",New Delhi,New Delhi,1989-02-27,Kanika.Jatwani1035@gmail.com,7851637849,NAXRB1893Y,Single,43488,Parvati Mandakranta Vidyasagar,mitcha,951031438975,Yes
98000133,Ashish Wadhera,Male,"20, rectangle 1, d-4, district center, saket, new delhi",New Delhi,New Delhi,1994-03-25,Ashish.Wadhera1209@gmail.com,7575831472,SMQRH7823Q,Divorced,5832,armaan @ suvalin,eemja,665220680820,Yes
98000092,Pankaj Gaur,Male,"17, 1st floor, opp city hospital, karol bagh",New Delhi,New Delhi,1993-04-09,Pankaj.Gaur822@gmail.com,8024346218,ILEOQ3601E,Divorced,52897,pooran chand sharma,arjga,,No
98000070,Anupreet Kaur,Female,"14F, DDA MARKET, ASHOK VIHAR PH - 1, DELHI - 110052",New Delhi,New Delhi,1988-07-20,Anupreet.Kaur392@gmail.com,8084011797,DAOYC8296Z,Single,48471,Dharmadhrt Ramila,eemja,524684610428,Yes
98000033,Rohan Gulati,Male,"118, Indraprakash Building, 21 Barakhamba Road, Connaught Place, New Delhi",New Delhi,New Delhi,1998-09-15,Rohan.Gulati545@gmail.com,7658556551,OUHWF5371W,Married,41278,Ramesh Nishar,urling,581302964164,Yes
98000107,Preet,Female,"1897, 2nd Floor Uday Chand Marg,Near 'D' Block, South Extension Part-I,",New Delhi,New Delhi,1993-02-25,Preet.375@gmail.com,7680137125,QDKVT6381G,Single,60281,ram niwas,arjga,962235055194,Yes
98000055,Renuka,Female,"13 Floor, Indraprakash Building, 21 Barakhamba Road, New Delhi",New Delhi,New Delhi,1996-05-28,Renuka.713@gmail.com,7647924650,RKHPM1024B,Single,44579,Kaustav Sulalit Neel,vinit,,No
98000093,Manoj,Male,"17, 1st Floor, Opp, City Hospital,Karol Bagh, New Delhi",New Delhi,New Delhi,1992-05-07,Manoj.890@gmail.com,8882194858,NMPRO6932K,Married,9467,irfan,ravgh,,No
98000012,Parmesh,Male,"108, Pragati Tower 26, Rajendra Place, New Delhi",New Delhi,New Delhi,1991-10-09,Parmesh.1044@gmail.com,8847484707,HPNWM3462N,Divorced,63041,Inayat Ramamuthe,rajshi,954097160612,Yes
98000023,Priyanka Kumar,Female,"1117 Devika Towers, Nehru Place, Delhi",New Delhi,New Delhi,1992-12-24,Priyanka.Kumar295@gmail.com,7792737773,YVTMG1980A,Single,87892,Pranay Tumkur,vinit,,No
98000095,Anjali Choudhary,Female,"17, Kapil Vihar, Opp Metro Pillar No 351, , Main Road, Pitampura",New Delhi,New Delhi,1993-03-09,Anjali.Choudhary1438@gmail.com,8165041079,TMRDF7683U,Married,80235,mukul yadav,sansoi,880368436206,Yes
98000108,Georgina Eric,Female,"19 -B, BASANT LOK COMMUNITY CENTRE, VASANT VIHAR, NEW DELHI - 110057",New Delhi,New Delhi,1994-01-11,Georgina.Eric385@gmail.com,7756122122,VXWHU2569X,Married,39293,rajkumar saini s/o madan lal saini,sadban,,No
98000064,Raghav Bhalla,Male,"14, Mohan Singh Place, Connaught Place, New Delhi.",New Delhi,New Delhi,1989-06-30,Raghav.Bhalla1832@gmail.com,8760572083,LZJTG4281J,Divorced,76227,Asvathama Ponnada,ravgh,965639684991,Yes
98000059,Neelam,Female,"135, Somdutt Chambers 1, 5 Bhikaji Cama Place, New Delhi",New Delhi,New Delhi,1999-03-23,Neelam.458@gmail.com,7823153250,VBHNY5163L,Divorced,71222,Harmendra Macwan,urling,822703742169,Yes
98000134,Akhilesh Kala,Male,"200/202, Rajlaxmi Bhavan, Perin Nariman Street, Bazaar ,Gate, Fort, Mumbai - 400001.",New Delhi,New Delhi,1995-06-26,Akhilesh.Kala105@gmail.com,8486091446,YIUQG1749V,Married,17751,kunal kishore,vinit,785440329767,Yes
98000144,Ajay Dhar,Male,"203 Skytech Magadh, Sector-3,VAISHALI, Delhi/NCR, INDIA",New Delhi,New Delhi,1988-01-08,Ajay.Dhar1535@gmail.com,8867266573,EJBTS8621Q,Divorced,97597,krishana,sansoi,,No
98000006,Narendra Gurjar,Male,"105/12, Amrit Puri B, East of Kailash, Opp Iskon Temple",New Delhi,New Delhi,1999-06-02,Narendra.Gurjar1900@gmail.com,8527145694,PIMHD4195B,Married,18225,Rampratap Ghosal,rajshi,,No
98000082,Jinesh Jain,Male,"15A/38, WEA, Karol Bagh, New delhi",New Delhi,New Delhi,1991-03-08,Jinesh.Jain1681@gmail.com,7888803517,QDCAJ4785I,Married,19665,aman,sadban,888481805255,Yes
98000013,Rajat,Male,"108-109, A.J. Chambers, Naiwala, Karol Bagh",New Delhi,New Delhi,1997-09-22,Rajat.1284@gmail.com,7399030948,TNKBO7106X,Divorced,43453,Vijaya Sandipan,jyadva,,No
98000101,Kritika Mehta,Female,"18, Community Centre, Kailash Colony Extension, Zamrudpur, New dElhi",New Delhi,New Delhi,1995-09-22,Kritika.Mehta601@gmail.com,7761161324,ZUNTR8919B,Single,86914,shekher,ajmee,,No
98000139,Harsh Vajpai,Male,"202 - 203, IIND FLOOR VARDHMAN DEE CEE PLAZA, PLOT NO.6(NEAR BY AKASH INSTITUTE) SECTOR -11 MKT. DWARKA, NEW DELHI - 110075",New Delhi,New Delhi,1999-04-02,Harsh.Vajpai1028@gmail.com,9754441063,QAELB6725V,Married,46467,prem pal,sansoi,782389408884,Yes
98000079,Reena Josephine,Female,"1557 Laxmi Bai Nagar, New Delhi 110023",New Delhi,New Delhi,1998-12-14,Reena.Josephine1781@gmail.com,8139299904,XREZU9213K,Divorced,4812,badshya khan,jyadva,538864026120,Yes
98000021,Gagandeep Singh,Male,"111, RG Complex 2 Prashant Vihar, Rohini- Sector -14, New Delhi",New Delhi,New Delhi,1995-12-06,Gagandeep.Singh433@gmail.com,8980833090,MSONF3704J,Single,31862,Abhichandra Tina,eemja,,No
98000138,Kanishk Karn,Male,"201-202, PP Trade Center, Netaji Subhash Place, Pitampura",New Delhi,New Delhi,1991-08-16,Kanishk.Karn1438@gmail.com,9796890263,JKRVO3820P,Married,14705,ram parkash teneja,ajmee,,No
98000003,Swati Shukla,Female,"105, Plot 17, Vardhman Plaza, Rani Bagh, Pitampura, New Delhi",New Delhi,New Delhi,1989-10-05,Swati.Shukla12@gmail.com,8187690369,KPVND5312U,Married,42018,Aahlaad Naimesh,jyadva,,No
98000041,Amaresh Pathak,Male,"121, 1st Floor, Living Style Mall, Main Kalandi Kunj Road",New Delhi,New Delhi,1988-05-27,Amaresh.Pathak1542@gmail.com,7743852240,AROHF7083R,Divorced,73067,Dhatri Esha Chawd,urling,655322028163,Yes
98000045,Shweta Mittal,Female,"124, VARDHMAN ROYAL PLAZA, GUJRANWALA TOWN, PART - I, DELHI 110009",New Delhi,New Delhi,1996-03-08,Shweta.Mittal106@gmail.com,8459137034,HMGND1463M,Married,63635,Nidra Emankumar,namad,,No
98000105,Charanjeet Kaur,Female,"187, Vardhman Crown Mall, Dwarka Sector – 19, New Delhi - 110075",New Delhi,New Delhi,1989-12-25,Charanjeet.Kaur918@gmail.com,8543771194,BACPY4958H,Married,2673,manish khandelwal,sansoi,919166321310,Yes
98000131, Vikrant Verma,Male,"20 -C DDA Market, Rajdhani Enclave, New Delhi - 110034",New Delhi,New Delhi,1999-10-11, Vikrant.Verma219@gmail.com,9335300625,PMCZE9437R,Single,78094,ankit,vinit,,No
98000049,Chetan Mansharamani,Male,"127, Ansal Chambers 2, 6 Bhikaji Cama Place, New Delhi",New Delhi,New Delhi,1989-02-24,Chetan.Mansharamani582@gmail.com,7927715624,JHQRB3567M,Married,60999,arvatinandan Sukanya,pbaua,,No
98000147,Anu Zutshi,Female,"203, IInd Floor, Rishabh Corporate Tower, Plot No.16 Karkardooma Community Centre, Opp: Hargobind Enclave Delhi -India, Near: Karkardooma Metro Station",New Delhi,New Delhi,1989-11-21,Anu.Zutshi20@gmail.com,9671859667,AMXDN7120H,Divorced,26250,ajay kumar,subje,,No
98000060,Uday Vir Singh,Male,"138 A, 1st Floor, Antriksh Bhawan, 22 Kasturbha Gandhi Marg, Connaught Place, New Delhi",New Delhi,New Delhi,1998-03-27,Uday.Vir896@gmail.com,8543780984,ZAPNF9670C,Married,38962,Advitiya Sujeet,meema,,No
98000067,Charanpreet Chawla,Male,"142/13, Sector 24, Rohini, Delhi 85",New Delhi,New Delhi,1988-10-31,Charanpreet.Chawla257@gmail.com,7554182806,HRNMA3547N,Divorced,73378,Barsati Sandipa,jyadva,971565531678,Yes
98000004,Haresh Ahir,Male,"105, Vardhman Arihant Chamber, Plot No 6, KP Block, Community Center, Pitampura",New Delhi,New Delhi,1994-06-13,Haresh.Ahir144@gmail.com,9039723404,ISACP7025R,Married,61200,Vipin Lankesh Vijayashree,eemja,,No
98000141,Rashmi Rauthan,Female,"202, 2nd floor, Nirmal Tower, 26 Barakhamba Road, Connaught Place, New Delhi",New Delhi,New Delhi,1989-02-10,Rashmi.Rauthan638@gmail.com,9949604177,TLNKX7450Z,Single,78198,sunil,subje,,No
98000149,Uzair Khan,Male,"203, New Delhi House, 27 Barakhamba Road, New Delhi - 110001",New Delhi,New Delhi,1988-10-19,Uzair.Khan940@gmail.com,7909974998,LXTUA5084R,Single,74011,piyush,subje,948493134638,Yes
98000080,Ashish Raj,Male,"15A/36 (206-207) 2nd floor, saraswati marg, karol bagh.",New Delhi,New Delhi,1993-01-21,Ashish.Raj598@gmail.com,9692837647,AEJGV9850E,Married,20321,vikash,jyadva,,No
98000132,Jitender Chauhan ,Male,"20, AD Market, LSC, Shalimar Bagh, New Delhi",New Delhi,New Delhi,1990-02-14,Jitender.Chauhan 314@gmail.com,8438862326,XLPFW7340T,Married,52082,sarthak dadwal,namad,555771796602,Yes
98000020,Pankaj Gupta,Male,"111, 1st Floor, Aashirwad Commercial Complex, Green Park, New Delhi – 110016",New Delhi,New Delhi,1989-09-05,Pankaj.Gupta557@gmail.com,9442073196,INMZD6309H,Divorced,47829,Sudhindra Marita,eemja,791110293708,Yes
98000062,Deepak Singh,Male,"13-B, 3rd Floor, Netaji Subhash Marg, Daryaganj, New Delhi",New Delhi,New Delhi,1988-06-06,Deepak.Singh1475@gmail.com,9828863636,VYUMP9250H,Divorced,42525,Amrish Ilyas,rajshi,962085354339,Yes
98000008,Tanvi,Female,"106, Mehar Chand Market, Lodhi Colony, New delhi",New Delhi,New Delhi,1996-02-29,Tanvi.1350@gmail.com,7456781898,SRFLO6871R,Single,27277,Ramashray Suryanarayana,pbaua,762592514542,Yes
98000053,Reshma Shahani,Female,"12A/26, WEA, Saraswati Marg, Karol Bagh, New delhi",New Delhi,New Delhi,1989-12-22,Reshma.Shahani135@gmail.com,9393984889,DYTBM6351B,Married,27206,Seemanti Nagaraja,eemja,647229582560,Yes
98000068,Sunil Kumar,Male,"14A/25, WEA, Channa Market, Saraswati Marg, Karol Bagh, New Delhi",New Delhi,New Delhi,1989-05-24,Sunil.Kumar402@gmail.com,9099742462,WDJSH7913Y,Married,50299,Debasis Sundhararajan,jyadva,733132148775,Yes
98000069,Sudesh Bhardwaj,Male,"14-B, 2nd floor, niho mall near DPS, ahinsa khand-2, indirapuram",New Delhi,New Delhi,1989-10-11,Sudesh.Bhardwaj666@gmail.com,8187789717,NCKVH4351F,Married,5279,Devasru Subramanyan,vinit,656389843297,Yes
98000103,Girendra Kumar,Male,"18/2, arya Samaj Road, Karol Bagh",New Delhi,New Delhi,1993-11-24,Girendra.Kumar389@gmail.com,8811461256,FILQX1798U,Single,62699,abhishek yadav,rajshi,549851451061,Yes
98000097,Amresh Pathak,Male,"175, 1st Floor, Vardhman Crown Mall, Sector-19, Dwarka",New Delhi,New Delhi,1990-05-31,Amresh.Pathak1424@gmail.com,9894780899,YSQMH6542D,Married,53264,manoj,vinit,694860765905,Yes
